"Country","Year","Exports","Share"
"Kenya",2024,549.960307916113,0.289662106341261
"Burundi",2024,70.2120518294631,0.0369804339162714
"Rwanda",2024,245.041889096498,0.129062677280266
"DRC",2024,446.9427577664,0.235403135035583
"South Sudan",2024,449.966255226486,0.236995600219342
"Tanzania",2024,136.503779384527,0.071896047207276
